order_id,order_date,customer_id,customer_segment,category,product_name,region,channel,payment_method,unit_price,quantity,discount_pct,revenue,shipping_status,rating,return_flag,month,quarter,year,profit
ORD100020,2023-01-28,CUST4611,New,Automotive,Automotive Product 4,Central,Social Media,UPI,36518.93,2,10,65734.07,Returned,5.0,0,1,1,2023,13146.814000000002
ORD100021,2024-07-28,CUST5370,Returning,Clothing,Clothing Product 1,West,Marketplace,UPI,3761.09,1,5,3573.04,Shipped,4.9,0,7,3,2024,393.0344
ORD100022,2023-07-23,CUST6792,New,Automotive,Automotive Product 4,South,Mobile App,Net Banking,41421.45,1,25,31066.09,Delivered,3.0,1,7,3,2023,5591.8962
ORD100023,2024-10-27,CUST4872,New,Automotive,Automotive Product 42,West,Social Media,Wallet,7265.75,1,10,6539.18,Cancelled,5.0,0,10,4,2024,1242.4442000000001
ORD100024,2024-12-19,CUST3485,New,Beauty,Beauty Product 2,South,Social Media,Debit Card,2879.38,1,20,2303.5,Returned,3.7,0,12,4,2024,668.015
ORD100025,2024-07-12,CUST1376,New,Clothing,Clothing Product 12,West,Mobile App,Net Banking,4005.02,3,5,11414.31,Cancelled,4.5,0,7,3,2024,1712.1464999999998
ORD100026,2024-03-05,CUST6189,At-Risk,Automotive,Automotive Product 46,West,Mobile App,Debit Card,7005.28,1,0,7005.28,Cancelled,3.3,0,3,1,2024,1541.1616
ORD100027,2023-08-14,CUST4602,New,Electronics,Electronics Product 38,Central,Social Media,Wallet,27857.58,2,0,55715.16,Cancelled,4.1,0,8,3,2023,13371.6384
ORD100028,2024-04-04,CUST3815,Returning,Clothing,Clothing Product 42,South,Marketplace,Wallet,265.51,2,10,477.92,Returned,4.3,0,4,2,2024,114.7008
ORD100029,2024-08-26,CUST7279,VIP,Toys,Toys Product 22,West,Website,Credit Card,2800.86,1,0,2800.86,Returned,2.8,0,8,3,2024,1092.3354000000002
ORD100030,2023-10-12,CUST4328,At-Risk,Toys,Toys Product 28,North,Mobile App,Debit Card,397.75,2,0,795.5,Shipped,4.5,0,10,4,2023,87.505
ORD100031,2023-01-07,CUST9875,New,Electronics,Electronics Product 7,North,Mobile App,Debit Card,66471.94,1,5,63148.34,Shipped,5.0,0,1,1,2023,24627.8526
ORD100032,2023-06-13,CUST1285,New,Electronics,Electronics Product 25,North,Website,UPI,34658.37,1,10,31192.53,Delivered,3.9,0,6,2,2023,8421.9831
ORD100033,2024-12-15,CUST3627,At-Risk,Clothing,Clothing Product 10,West,Mobile App,Debit Card,3066.02,4,10,11037.67,Shipped,5.0,1,12,4,2024,3752.8078000000005
ORD100034,2024-03-08,CUST2493,New,Sports,Sports Product 12,South,Mobile App,Net Banking,557.37,5,0,2786.85,Shipped,3.8,0,3,1,2024,640.9755
ORD100035,2023-12-15,CUST5419,At-Risk,Books,Books Product 22,East,Mobile App,Credit Card,436.14,3,0,1308.42,Delivered,4.7,0,12,4,2023,314.0208
ORD100036,2023-10-12,CUST8966,VIP,Automotive,Automotive Product 25,North,Mobile App,Net Banking,14685.39,1,10,13216.85,Processing,2.2,0,10,4,2023,4758.066
ORD100037,2023-06-09,CUST3040,New,Beauty,Beauty Product 46,South,Marketplace,Credit Card,385.45,1,25,289.09,Shipped,5.0,0,6,2,2023,106.96329999999999
ORD100038,2023-08-09,CUST2567,Returning,Beauty,Beauty Product 46,Central,Marketplace,Wallet,1372.51,2,10,2470.52,Shipped,5.0,0,8,3,2023,419.9884
ORD100039,2023-12-11,CUST5033,Returning,Electronics,Electronics Product 44,Central,Website,Net Banking,49600.25,1,20,39680.2,Shipped,3.8,0,12,4,2023,6348.831999999999
ORD100040,2023-04-15,CUST7658,VIP,Books,Books Product 18,West,Social Media,Debit Card,610.47,1,15,518.9,Shipped,2.4,0,4,2,2023,129.725
ORD100041,2023-04-05,CUST4620,New,Automotive,Automotive Product 45,South,Website,Wallet,9993.52,1,10,8994.17,Cancelled,4.2,0,4,2,2023,3327.8429
ORD100042,2024-01-25,CUST4965,VIP,Beauty,Beauty Product 32,South,Marketplace,Net Banking,951.25,1,0,951.25,Cancelled,2.8,0,1,1,2024,190.25
ORD100043,2023-04-10,CUST8528,VIP,Automotive,Automotive Product 5,North,Social Media,Wallet,6458.98,4,10,23252.33,Shipped,4.4,0,4,2,2023,6975.6990000000005
ORD100044,2024-01-03,CUST3713,Returning,Beauty,Beauty Product 33,West,Mobile App,Net Banking,901.06,1,10,810.95,Delivered,4.3,0,1,1,2024,251.39450000000002
ORD100045,2023-12-19,CUST3843,VIP,Automotive,Automotive Product 48,Central,Website,UPI,35287.02,2,10,63516.64,Cancelled,3.2,1,12,4,2023,20960.4912
ORD100046,2024-09-10,CUST4610,New,Clothing,Clothing Product 24,South,Marketplace,Net Banking,3398.39,1,5,3228.47,Returned,4.9,0,9,3,2024,871.6869
ORD100047,2023-09-28,CUST5578,At-Risk,Clothing,Clothing Product 23,East,Mobile App,Net Banking,2259.96,2,5,4293.92,Delivered,4.6,0,9,3,2023,944.6624
ORD100048,2023-02-14,CUST2759,New,Books,Books Product 39,South,Social Media,Debit Card,431.72,2,0,863.44,Shipped,4.8,1,2,1,2023,336.7416
ORD100049,2024-04-15,CUST1051,Returning,Electronics,Electronics Product 20,South,Social Media,Debit Card,62726.0,1,5,59589.7,Processing,4.0,0,4,2,2024,16685.116
ORD100050,2024-07-03,CUST4912,Returning,Beauty,Beauty Product 1,South,Marketplace,Net Banking,443.73,5,0,2218.65,Delivered,2.9,1,7,3,2024,709.9680000000001
ORD100051,2023-05-08,CUST6054,Returning,Beauty,Beauty Product 47,South,Social Media,Credit Card,2231.8,3,15,5691.09,Cancelled,4.8,0,5,2,2023,1138.218
ORD100052,2024-01-23,CUST8130,At-Risk,Sports,Sports Product 29,South,Social Media,Debit Card,12377.57,4,0,49510.28,Shipped,3.8,1,1,1,2024,14853.083999999999
ORD100053,2023-03-22,CUST7335,At-Risk,Beauty,Beauty Product 38,North,Social Media,Wallet,687.71,4,0,2750.84,Returned,2.9,0,3,1,2023,495.1512
ORD100054,2024-07-19,CUST8309,VIP,Clothing,Clothing Product 40,South,Marketplace,UPI,4303.39,2,5,8176.44,Delivered,5.0,1,7,3,2024,1389.9948
ORD100055,2023-10-28,CUST4496,Returning,Electronics,Electronics Product 10,South,Website,UPI,50498.18,4,10,181793.45,Processing,5.0,1,10,4,2023,56355.96950000001
ORD100056,2024-10-05,CUST4804,Returning,Home & Kitchen,Home & Kitchen Product 15,Central,Social Media,Net Banking,2486.27,1,5,2361.96,Delivered,4.0,1,10,4,2024,614.1096
ORD100057,2024-09-25,CUST2644,At-Risk,Automotive,Automotive Product 1,Central,Website,Wallet,6726.69,1,0,6726.69,Delivered,5.0,0,9,3,2024,2018.0069999999998
ORD100058,2024-01-06,CUST2343,Returning,Home & Kitchen,Home & Kitchen Product 19,South,Mobile App,Net Banking,6198.86,1,10,5578.97,Processing,4.1,0,1,1,2024,1004.2146
ORD100059,2024-08-14,CUST7693,Returning,Toys,Toys Product 50,East,Social Media,Debit Card,1240.67,1,0,1240.67,Shipped,3.7,0,8,3,2024,347.3876000000001
ORD100060,2023-07-16,CUST8276,New,Clothing,Clothing Product 23,East,Social Media,Net Banking,1122.45,1,20,897.96,Cancelled,3.5,0,7,3,2023,206.53080000000003
ORD100061,2024-12-22,CUST8250,VIP,Sports,Sports Product 47,West,Social Media,Wallet,3265.7,1,20,2612.56,Returned,5.0,1,12,4,2024,731.5168000000001
ORD100062,2023-03-13,CUST3463,VIP,Books,Books Product 14,North,Marketplace,Credit Card,112.36,3,5,320.23,Returned,3.4,0,3,1,2023,60.843700000000005
ORD100063,2023-02-16,CUST7299,Returning,Books,Books Product 9,West,Social Media,Wallet,239.75,1,0,239.75,Returned,4.6,0,2,1,2023,74.3225
ORD100064,2024-11-08,CUST7228,Returning,Clothing,Clothing Product 48,North,Website,Debit Card,4348.88,1,10,3913.99,Cancelled,3.6,1,11,4,2024,1330.7566
ORD100065,2023-08-22,CUST1377,New,Toys,Toys Product 15,West,Website,Credit Card,1645.34,2,0,3290.68,Processing,3.6,0,8,3,2023,592.3223999999999
ORD100066,2023-10-24,CUST9868,At-Risk,Books,Books Product 6,Central,Social Media,Wallet,467.48,1,5,444.11,Returned,4.8,1,10,4,2023,84.3809
ORD100067,2023-03-23,CUST5451,Returning,Automotive,Automotive Product 25,East,Social Media,Debit Card,35247.82,3,0,105743.46,Delivered,3.7,0,3,1,2023,31723.038
ORD100068,2023-08-27,CUST4360,At-Risk,Books,Books Product 42,South,Mobile App,Debit Card,786.09,1,20,628.87,Returned,3.7,0,8,3,2023,194.9497
ORD100069,2023-04-14,CUST9053,VIP,Beauty,Beauty Product 41,North,Mobile App,Wallet,782.06,5,0,3910.3,Shipped,4.9,0,4,2,2023,1212.193
ORD100070,2024-01-25,CUST8154,VIP,Clothing,Clothing Product 30,West,Mobile App,UPI,2245.16,3,10,6061.93,Returned,5.0,0,1,1,2024,1818.579
ORD100071,2023-10-12,CUST9584,At-Risk,Toys,Toys Product 30,Central,Website,Credit Card,433.13,1,10,389.82,Delivered,4.5,0,10,4,2023,85.7604
ORD100072,2024-04-09,CUST6608,Returning,Electronics,Electronics Product 35,East,Mobile App,Debit Card,34452.29,1,5,32729.68,Shipped,3.5,0,4,2,2024,7200.5296
ORD100073,2024-10-12,CUST6276,Returning,Clothing,Clothing Product 50,South,Mobile App,Debit Card,447.95,3,0,1343.85,Returned,3.6,0,10,4,2024,241.89299999999997
ORD100074,2024-01-09,CUST1339,New,Automotive,Automotive Product 5,South,Website,Debit Card,6214.7,2,25,9322.05,Processing,4.1,0,1,1,2024,1398.3075
ORD100075,2023-06-16,CUST9176,Returning,Automotive,Automotive Product 19,East,Mobile App,Wallet,18687.95,2,5,35507.11,Returned,4.3,0,6,2,2023,11007.2041
ORD100076,2024-01-15,CUST9315,Returning,Home & Kitchen,Home & Kitchen Product 22,West,Social Media,Credit Card,14162.08,3,10,38237.62,Cancelled,3.2,0,1,1,2024,4970.890600000001
ORD100077,2023-12-30,CUST7355,VIP,Automotive,Automotive Product 25,Central,Mobile App,Net Banking,35810.01,1,0,35810.01,Cancelled,4.6,0,12,4,2023,13607.803800000002
ORD100078,2023-08-03,CUST8244,VIP,Electronics,Electronics Product 19,West,Social Media,Debit Card,20134.01,1,5,19127.31,Returned,4.1,0,8,3,2023,6694.5585
ORD100079,2024-11-17,CUST4366,VIP,Electronics,Electronics Product 29,East,Marketplace,UPI,71660.95,1,5,68077.9,Returned,2.6,1,11,4,2024,24508.043999999998
ORD100080,2023-10-01,CUST7110,At-Risk,Toys,Toys Product 47,South,Social Media,Debit Card,890.66,3,0,2671.98,Shipped,3.3,0,10,4,2023,988.6326
ORD100081,2024-12-19,CUST3367,New,Automotive,Automotive Product 19,Central,Mobile App,Wallet,826.37,2,0,1652.74,Returned,3.6,0,12,4,2024,363.6028
ORD100082,2024-11-30,CUST2267,VIP,Home & Kitchen,Home & Kitchen Product 16,East,Social Media,UPI,10008.33,1,15,8507.08,Cancelled,3.9,0,11,4,2024,2977.4779999999996
ORD100083,2024-10-25,CUST7187,At-Risk,Home & Kitchen,Home & Kitchen Product 29,North,Marketplace,Credit Card,5028.1,1,0,5028.1,Delivered,5.0,0,10,4,2024,754.215
ORD100084,2023-03-15,CUST3758,VIP,Home & Kitchen,Home & Kitchen Product 1,South,Mobile App,Wallet,4494.16,1,0,4494.16,Processing,4.2,0,3,1,2023,494.3576
ORD100085,2024-09-15,CUST7619,New,Clothing,Clothing Product 48,Central,Mobile App,UPI,1544.76,1,5,1467.52,Shipped,3.3,0,9,3,2024,498.95680000000004
ORD100086,2024-10-12,CUST4393,VIP,Toys,Toys Product 8,East,Mobile App,UPI,2504.78,2,15,4258.13,Returned,4.2,1,10,4,2024,510.9756
ORD100087,2023-06-25,CUST4570,At-Risk,Beauty,Beauty Product 40,South,Website,UPI,1378.09,2,0,2756.18,Shipped,3.7,0,6,2,2023,1102.472
ORD100088,2024-06-30,CUST6148,New,Toys,Toys Product 19,West,Marketplace,UPI,1158.6,4,10,4170.96,Cancelled,4.3,0,6,2,2024,1251.288
ORD100089,2023-09-08,CUST6787,Returning,Toys,Toys Product 49,North,Marketplace,UPI,2066.89,1,0,2066.89,Delivered,4.5,0,9,3,2023,682.0737
ORD100090,2023-06-17,CUST7637,New,Books,Books Product 23,North,Social Media,Credit Card,334.0,1,0,334.0,Cancelled,5.0,0,6,2,2023,56.78
ORD100091,2024-04-18,CUST5491,VIP,Sports,Sports Product 13,West,Mobile App,Wallet,2585.96,2,0,5171.92,Cancelled,4.0,0,4,2,2024,1551.576
ORD100092,2024-01-24,CUST5075,At-Risk,Toys,Toys Product 44,East,Website,Wallet,2742.0,3,15,6992.1,Shipped,5.0,0,1,1,2024,769.1310000000001
ORD100093,2023-10-04,CUST5762,VIP,Beauty,Beauty Product 40,East,Social Media,Debit Card,2096.44,2,0,4192.88,Shipped,4.7,0,10,4,2023,1467.508
ORD100094,2024-10-17,CUST4782,New,Sports,Sports Product 45,Central,Social Media,UPI,15501.09,3,0,46503.27,Shipped,3.4,0,10,4,2024,6975.490499999999
ORD100095,2024-12-05,CUST7216,VIP,Automotive,Automotive Product 7,Central,Social Media,Wallet,7211.16,1,5,6850.6,Delivered,5.0,0,12,4,2024,2123.686
ORD100096,2024-07-24,CUST8695,Returning,Home & Kitchen,Home & Kitchen Product 6,East,Website,Wallet,5600.36,2,15,9520.61,Cancelled,4.3,0,7,3,2024,1618.5037000000002
ORD100097,2023-08-13,CUST1397,At-Risk,Home & Kitchen,Home & Kitchen Product 43,East,Marketplace,Debit Card,12207.52,1,0,12207.52,Returned,3.3,1,8,3,2023,1464.9024
ORD100098,2024-12-02,CUST4998,At-Risk,Toys,Toys Product 29,Central,Marketplace,Credit Card,3023.14,1,5,2871.98,Delivered,5.0,0,12,4,2024,689.2751999999999
ORD100099,2023-11-29,CUST2059,VIP,Sports,Sports Product 32,West,Mobile App,UPI,11942.66,1,0,11942.66,Delivered,5.0,0,11,4,2023,1791.399
ORD100100,2023-02-27,CUST8409,Returning,Beauty,Beauty Product 28,East,Website,Credit Card,1873.43,1,5,1779.76,Cancelled,4.0,0,2,1,2023,569.5232
ORD100101,2023-08-23,CUST1358,At-Risk,Books,Books Product 27,South,Mobile App,Credit Card,266.78,2,10,480.2,Cancelled,3.6,0,8,3,2023,81.634
ORD100102,2023-02-02,CUST7371,At-Risk,Books,Books Product 46,North,Mobile App,Debit Card,293.16,1,10,263.84,Cancelled,3.9,0,2,1,2023,52.768
ORD100103,2023-11-20,CUST6655,Returning,Books,Books Product 28,North,Marketplace,UPI,509.03,2,0,1018.06,Shipped,4.6,0,11,4,2023,274.8762
ORD100104,2024-02-15,CUST6890,Returning,Sports,Sports Product 22,Central,Marketplace,Net Banking,2109.73,4,0,8438.92,Processing,5.0,0,2,1,2024,1603.3948
ORD100105,2023-10-02,CUST7241,VIP,Beauty,Beauty Product 4,Central,Mobile App,Debit Card,453.14,1,0,453.14,Returned,4.5,0,10,4,2023,95.15939999999999
ORD100106,2023-03-09,CUST1335,At-Risk,Home & Kitchen,Home & Kitchen Product 23,North,Marketplace,Credit Card,9554.51,1,0,9554.51,Returned,4.1,0,3,1,2023,3248.5334000000003
ORD100107,2023-08-05,CUST9043,Returning,Home & Kitchen,Home & Kitchen Product 12,East,Marketplace,Debit Card,9146.98,3,0,27440.94,Delivered,5.0,0,8,3,2023,4116.141
ORD100108,2024-08-03,CUST8148,VIP,Beauty,Beauty Product 43,South,Website,Debit Card,266.96,1,15,226.92,Returned,3.7,0,8,3,2024,27.230399999999996
ORD100109,2023-11-19,CUST8296,Returning,Clothing,Clothing Product 31,East,Website,Wallet,4847.98,1,25,3635.98,Processing,4.8,0,11,4,2023,727.196
ORD100110,2023-08-06,CUST7949,At-Risk,Beauty,Beauty Product 42,East,Marketplace,Debit Card,2669.52,1,25,2002.14,Delivered,3.8,1,8,3,2023,460.4922
ORD100111,2024-11-02,CUST2465,At-Risk,Automotive,Automotive Product 49,East,Social Media,Net Banking,41016.53,1,20,32813.22,Cancelled,4.3,0,11,4,2024,8531.4372
ORD100112,2024-05-26,CUST8165,At-Risk,Toys,Toys Product 27,South,Marketplace,Net Banking,933.12,4,10,3359.23,Returned,3.9,0,5,2,2024,705.4383
ORD100113,2024-02-10,CUST5176,VIP,Sports,Sports Product 5,Central,Website,Debit Card,9137.09,3,10,24670.14,Shipped,4.0,0,2,1,2024,8387.847600000001
ORD100114,2024-10-20,CUST6705,Returning,Toys,Toys Product 9,North,Mobile App,UPI,574.82,2,0,1149.64,Delivered,3.7,0,10,4,2024,126.4604
ORD100115,2024-04-14,CUST4744,Returning,Electronics,Electronics Product 2,East,Marketplace,UPI,75374.53,4,10,271348.31,Delivered,5.0,0,4,2,2024,62410.111300000004
ORD100116,2023-05-27,CUST5409,VIP,Clothing,Clothing Product 37,South,Mobile App,Wallet,3171.25,3,5,9038.06,Cancelled,3.4,0,5,2,2023,1897.9925999999998
ORD100117,2023-09-29,CUST7006,Returning,Electronics,Electronics Product 11,West,Website,Credit Card,24467.38,1,5,23244.01,Cancelled,3.4,0,9,3,2023,6740.762899999999
ORD100118,2023-05-23,CUST5257,New,Toys,Toys Product 36,West,Website,UPI,2001.95,4,15,6806.63,Returned,5.0,1,5,2,2023,2654.5857
ORD100119,2023-09-10,CUST8840,At-Risk,Home & Kitchen,Home & Kitchen Product 6,East,Social Media,Net Banking,11486.52,2,0,22973.04,Shipped,4.8,0,9,3,2023,5743.26
ORD100120,2024-07-28,CUST3590,New,Electronics,Electronics Product 45,South,Mobile App,Wallet,42917.83,3,0,128753.49,Returned,2.1,0,7,3,2024,51501.39600000001
ORD100121,2024-07-05,CUST3761,At-Risk,Electronics,Electronics Product 42,East,Social Media,Wallet,12716.95,4,20,40694.24,Returned,3.5,0,7,3,2024,7731.9056
ORD100122,2023-09-27,CUST4590,VIP,Books,Books Product 21,East,Website,Net Banking,189.48,1,0,189.48,Cancelled,2.6,0,9,3,2023,20.8428
ORD100123,2024-08-21,CUST9473,New,Sports,Sports Product 31,North,Social Media,UPI,8596.97,1,5,8167.12,Shipped,3.2,0,8,3,2024,1225.068
ORD100124,2024-03-14,CUST9698,Returning,Home & Kitchen,Home & Kitchen Product 36,West,Website,Net Banking,10760.57,1,20,8608.46,Cancelled,1.5,0,3,1,2024,1893.8611999999998
ORD100125,2024-08-20,CUST4206,Returning,Sports,Sports Product 4,Central,Marketplace,Credit Card,17875.1,1,10,16087.59,Delivered,3.9,0,8,3,2024,3056.6421
ORD100126,2024-02-13,CUST1594,New,Sports,Sports Product 27,West,Mobile App,Net Banking,15283.36,3,5,43557.58,Returned,3.1,0,2,1,2024,5662.4854000000005
ORD100127,2024-01-06,CUST7249,VIP,Home & Kitchen,Home & Kitchen Product 43,Central,Social Media,Wallet,12737.49,3,0,38212.47,Cancelled,4.0,0,1,1,2024,8788.868100000002
ORD100128,2023-08-13,CUST6973,Returning,Electronics,Electronics Product 5,Central,Marketplace,Wallet,45047.51,1,0,45047.51,Cancelled,2.7,0,8,3,2023,9009.502
ORD100129,2023-05-22,CUST1786,Returning,Sports,Sports Product 47,West,Website,Net Banking,7207.85,2,20,11532.56,Returned,4.1,0,5,2,2023,1614.5584000000001
ORD100130,2024-06-05,CUST4745,VIP,Books,Books Product 40,Central,Website,Debit Card,356.21,1,10,320.59,Delivered,3.7,0,6,2,2024,60.912099999999995
ORD100131,2024-05-20,CUST2474,New,Electronics,Electronics Product 4,West,Social Media,Credit Card,50574.24,1,5,48045.53,Delivered,5.0,0,5,2,2024,17776.8461
ORD100132,2023-04-04,CUST3601,New,Beauty,Beauty Product 10,North,Marketplace,Debit Card,484.67,1,0,484.67,Returned,5.0,1,4,2,2023,92.0873
ORD100133,2023-02-18,CUST2513,VIP,Automotive,Automotive Product 9,South,Marketplace,Debit Card,22257.39,1,0,22257.39,Returned,4.6,0,2,1,2023,6899.7909
ORD100134,2023-04-23,CUST1820,At-Risk,Clothing,Clothing Product 16,North,Marketplace,UPI,2517.54,4,25,7552.62,Cancelled,3.7,0,4,2,2023,2114.7336
ORD100135,2023-06-06,CUST5102,Returning,Books,Books Product 5,South,Marketplace,Credit Card,466.63,1,0,466.63,Cancelled,5.0,0,6,2,2023,107.3249
ORD100136,2024-10-04,CUST2298,New,Toys,Toys Product 44,Central,Marketplace,Wallet,3819.29,2,10,6874.72,Delivered,2.8,1,10,4,2024,1168.7024000000001
ORD100137,2023-06-13,CUST9605,Returning,Books,Books Product 8,South,Mobile App,Net Banking,653.62,2,0,1307.24,Shipped,2.9,1,6,2,2023,274.5204
ORD100138,2024-11-27,CUST5180,VIP,Sports,Sports Product 26,South,Website,Debit Card,3671.93,1,10,3304.74,Returned,3.9,0,11,4,2024,925.3272000000001
ORD100139,2024-03-08,CUST8423,VIP,Electronics,Electronics Product 31,North,Mobile App,Wallet,22294.82,5,20,89179.28,Cancelled,5.0,1,3,1,2024,18727.6488
ORD100140,2024-09-02,CUST3441,At-Risk,Toys,Toys Product 41,South,Social Media,Net Banking,3876.45,5,10,17444.03,Delivered,3.8,1,9,3,2024,2791.0447999999997
ORD100141,2023-03-07,CUST5803,Returning,Toys,Toys Product 36,North,Mobile App,Wallet,1300.69,1,0,1300.69,Processing,3.9,0,3,1,2023,169.08970000000002
ORD100142,2024-01-30,CUST3320,At-Risk,Toys,Toys Product 44,West,Website,UPI,3832.05,1,10,3448.84,Shipped,2.8,0,1,1,2024,1241.5824
ORD100143,2024-01-26,CUST8141,Returning,Beauty,Beauty Product 29,North,Mobile App,Net Banking,323.26,1,15,274.77,Processing,4.8,0,1,1,2024,63.1971
ORD100144,2024-09-02,CUST5563,At-Risk,Electronics,Electronics Product 2,North,Social Media,UPI,77811.68,1,5,73921.1,Shipped,4.8,0,9,3,2024,21437.119
ORD100145,2024-04-24,CUST4047,Returning,Electronics,Electronics Product 25,Central,Mobile App,Debit Card,15620.18,1,20,12496.14,Cancelled,4.6,0,4,2,2024,3124.035
ORD100146,2024-06-25,CUST4753,At-Risk,Sports,Sports Product 41,East,Social Media,UPI,16364.86,2,10,29456.75,Processing,3.5,0,6,2,2024,10604.43
ORD100147,2023-09-15,CUST7708,Returning,Books,Books Product 31,Central,Marketplace,Net Banking,446.52,2,20,714.43,Returned,3.4,0,9,3,2023,185.7518
ORD100148,2024-07-20,CUST6105,VIP,Automotive,Automotive Product 41,West,Social Media,Net Banking,26997.52,1,10,24297.77,Processing,3.0,0,7,3,2024,5831.4648
ORD100149,2023-01-12,CUST3730,Returning,Books,Books Product 28,West,Mobile App,Credit Card,459.44,1,0,459.44,Cancelled,4.1,0,1,1,2023,174.5872
ORD100150,2024-11-27,CUST9528,New,Beauty,Beauty Product 14,South,Social Media,Wallet,363.71,4,0,1454.84,Delivered,3.1,0,11,4,2024,465.54879999999997
ORD100151,2023-04-28,CUST2094,At-Risk,Books,Books Product 22,Central,Social Media,Wallet,406.42,1,0,406.42,Returned,3.1,1,4,2,2023,52.8346
ORD100152,2024-11-29,CUST4798,At-Risk,Books,Books Product 16,Central,Social Media,Debit Card,456.49,1,20,365.19,Cancelled,3.7,0,11,4,2024,54.7785
ORD100153,2024-07-03,CUST2511,New,Sports,Sports Product 9,South,Social Media,Debit Card,11424.97,1,15,9711.22,Delivered,3.6,0,7,3,2024,3301.8148
ORD100154,2023-10-01,CUST1854,VIP,Automotive,Automotive Product 10,Central,Social Media,Credit Card,20000.15,5,10,90000.68,Returned,3.6,0,10,4,2023,31500.237999999994
ORD100155,2024-10-18,CUST3882,VIP,Home & Kitchen,Home & Kitchen Product 13,West,Social Media,Wallet,9226.11,1,0,9226.11,Cancelled,4.4,0,10,4,2024,2398.7886000000003
ORD100156,2023-12-15,CUST5722,New,Clothing,Clothing Product 44,Central,Social Media,Debit Card,1193.24,2,0,2386.48,Shipped,4.1,0,12,4,2023,644.3496
ORD100157,2023-04-25,CUST9977,VIP,Home & Kitchen,Home & Kitchen Product 32,Central,Marketplace,UPI,352.93,3,15,899.97,Shipped,3.8,0,4,2,2023,260.99129999999997
