title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categories/0,categories/1,categories/2,categories/3,categories/4,categories/5,categories/6,categories/7,categories/8,categories/9,categories/10,url,categoryName,log_reviews,composite,tier,score_band
Randall Restaurant,4.3,636.0,1328 Randall Ave,Bronx,New York,US,https://randallrestaurant.shop/,(718) 328-0343,Dominican restaurant,Latin American restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Randall%20Restaurant&query_place_id=ChIJMeQ3Zwb1wokRAXVVeEED8KM,Dominican restaurant,6.456769655572163,27.764,Popular,4.0–4.5
Havana Cafe Takeout,4.3,1496.0,2164 Newbold Ave,Bronx,New York,US,https://www.ubereats.com/store/havana-cafe-takeout/8iDF0SlCR-G_CaLTa_cCqA?srsltid=AfmBOoqjDmM5AE1Gvme9aOvLqOmhQIU5stpG29aM3_hiM8lJrJgktoT1,,Cuban restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Havana%20Cafe%20Takeout&query_place_id=ChIJw8zkWsj0wokR_JAkW37dgIM,Cuban restaurant,7.311218384419629,31.438,Popular,4.0–4.5
Moon Cheese Restaurant,4.8,1080.0,88-11 31st Ave,East Elmhurst,New York,US,https://mooncheeserestaurant.shop/,(718) 255-1168,Colombian restaurant,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Moon%20Cheese%20Restaurant&query_place_id=ChIJ101DLXNfwokRHsFnwAPNyWY,Colombian restaurant,6.985641817639208,33.531,Popular,4.5–5.0
Step In,4.4,1116.0,1309 Metropolitan Ave,Bronx,New York,US,http://www.stepinnyc.com/,(718) 822-0562,American restaurant,Bar & grill,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Step%20In&query_place_id=ChIJvZeUH8H0wokRR6HyeGlF5AA,American restaurant,7.018401799069201,30.881,Popular,4.0–4.5
Wicked Wolf Bronx,4.5,844.0,4029 E Tremont Ave,Bronx,New York,US,http://www.wickedwolfbronx.com/,(718) 829-4400,American restaurant,Bar,Caterer,Event venue,Irish restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Wicked%20Wolf%20Bronx&query_place_id=ChIJ-ZqZEBiLwokR-F0TH-ryllQ,American restaurant,6.739336627357174,30.327,Popular,4.0–4.5
HK Kitchen & Draft House,4.3,861.0,3599 E Tremont Ave,Bronx,New York,US,https://hkkitchendrafthouse.shop/,(347) 851-2000,Bar & grill,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=HK%20Kitchen%20%26%20Draft%20House&query_place_id=ChIJycDWsouLwokRsRmos9xXmEY,Bar & grill,6.759255270663693,29.065,Popular,4.0–4.5
Massawa,4.5,750.0,1239 Amsterdam Ave,New York,New York,US,https://massawanyc.com/?utm_source=google,+1 212-663-0505,Ethiopian restaurant,African restaurant,Caterer,Cocktail bar,Eritrean restaurant,Gluten-free restaurant,Halal restaurant,Vegan restaurant,Vegetarian restaurant,,,https://www.google.com/maps/search/?api=1&query=Massawa&query_place_id=ChIJizsMQxX2wokRSD5_pzmhaYg,Ethiopian restaurant,6.621405651764134,29.796,Popular,4.0–4.5
THEP Thai Restaurant,4.8,6514.0,1439 2nd Ave,New York,New York,US,http://www.thepnewyork.com/,+1 212-899-9995,Thai restaurant,Asian fusion restaurant,Asian restaurant,Cocktail bar,Gluten-free restaurant,Vegan restaurant,Wok restaurant,,,,,https://www.google.com/maps/search/?api=1&query=THEP%20Thai%20Restaurant&query_place_id=ChIJz6VeesBYwokRNBYu4Sar8lw,Thai restaurant,8.781862489558945,42.153,Viral,4.5–5.0
Jägerhaus German Mediterranean Restaurant,4.5,786.0,15-16 149th St,Flushing,New York,US,https://jagerhausnyc.com/?utm_campaign=gmb,+1 718-767-3486,German restaurant,Beer garden,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=J%C3%A4gerhaus%20German%20Mediterranean%20Restaurant&query_place_id=ChIJL9S0xpWKwokRNGloENoXHe0,German restaurant,6.668228248417403,30.007,Popular,4.0–4.5
Heidelberg Restaurant,4.5,1908.0,1648 2nd Ave,New York,New York,US,http://www.heidelberg-nyc.com/,+1 212-628-2332,German restaurant,Bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Heidelberg%20Restaurant&query_place_id=ChIJFWvro7tYwokRhy_889mPgcg,German restaurant,7.554334823725748,33.995,Popular,4.0–4.5
Yemeni Restaurant,4.8,1855.0,377 W 125th St,New York,New York,US,https://yemenirestaurantnyc.com/,+1 646-791-5022,Yemeni restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Yemeni%20Restaurant&query_place_id=ChIJuyAK3073wokR1X2sCM0t_Do,Yemeni restaurant,7.526178913346146,36.126,Popular,4.5–5.0
Lido Harlem Restaurant,4.5,1770.0,2168 Frederick Douglass Blvd,New York,New York,US,http://lidoharlem.com/,+1 646-490-8575,Italian restaurant,Bar,Brunch restaurant,Lunch restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Lido%20Harlem%20Restaurant&query_place_id=ChIJ2yTMoxb2wokRixfwCY3ltok,Italian restaurant,7.479299637782834,33.657,Popular,4.0–4.5
Sylvia's Restaurant,4.3,8868.0,328 Malcolm X Blvd,New York,New York,US,http://sylviasrestaurant.com/,+1 212-996-0660,Soul food restaurant,American restaurant,Bar,Southern restaurant (US),,,,,,,,https://www.google.com/maps/search/?api=1&query=Sylvia's%20Restaurant&query_place_id=ChIJb8Xw0wz2wokRXhp1-HSLvkI,Soul food restaurant,9.090317329376452,39.088,Viral,4.0–4.5
Jacob Soul Food Restaurant,4.4,3304.0,373 Malcolm X Blvd,New York,New York,US,http://www.jacobrestaurant.com/,+1 212-866-3663,Soul food restaurant,Buffet restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jacob%20Soul%20Food%20Restaurant&query_place_id=ChIJnxjnEHP2wokR-Dgf5gfBf50,Soul food restaurant,8.103191752285786,35.654,Viral,4.0–4.5
Renaissance restaurant,4.3,969.0,2245 Adam Clayton Powell Jr Blvd,New York,New York,US,https://renaissance-harlem.com/,+1 646-838-7604,New American restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Renaissance%20restaurant&query_place_id=ChIJy8PSLHL2wokR-6RfFmGybOk,New American restaurant,6.877296071497429,29.572,Popular,4.0–4.5
Radio Restaurant,4.2,1137.0,"Inside Radio Hotel, 2420 Amsterdam Ave",New York,New York,US,https://radiorestaurant.com/,+1 929-688-4684,Restaurant,Bar,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Radio%20Restaurant&query_place_id=ChIJq6rqPh_0wokRYx9DPUPrCJs,Restaurant,7.037027614686276,29.556,Popular,4.0–4.5
Sanfords,4.4,2551.0,30-13 Broadway,Astoria,New York,US,http://www.sanfordsnyc.com/,+1 718-932-9569,New American restaurant,Brunch restaurant,Cocktail bar,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sanfords&query_place_id=ChIJK6yDNjdfwokR_I3wR_rkS8s,New American restaurant,7.844632644464681,34.516,Viral,4.0–4.5
Mission Ceviche,4.6,4159.0,1400 2nd Ave,New York,New York,US,https://www.missionceviche.com/,+1 212-650-0014,Peruvian restaurant,Restaurant,Seafood restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mission%20Ceviche&query_place_id=ChIJEXPLsaFZwokRggZzIVKeiPM,Peruvian restaurant,8.333270353255308,38.333,Viral,4.5–5.0
Hamilton Hall Bar & Restaurant,4.5,216.0,3493 Broadway,New York,New York,US,http://www.hamiltonhallnyc.com/,+1 646-454-9797,Restaurant,Bar,Bar & grill,Beer garden,Beer hall,Cocktail bar,Irish pub,Irish restaurant,Sports bar,Wine bar,,https://www.google.com/maps/search/?api=1&query=Hamilton%20Hall%20Bar%20%26%20Restaurant&query_place_id=ChIJKYBCGCf3wokRZ-6m6zT5BxI,Restaurant,5.37989735354046,24.21,Small,4.0–4.5
Truth Restaurant Astoria,4.6,431.0,27-35 21st St,Astoria,New York,US,https://www.truthastoria.com/,+1 347-527-2199,Asian fusion restaurant,Asian restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Truth%20Restaurant%20Astoria&query_place_id=ChIJx9TFWhBfwokRjqfzfLhojJo,Asian fusion restaurant,6.068425588244111,27.915,Small,4.5–5.0
Inca Paisa Restaurant Astoria,4.7,1534.0,21-19 Broadway,Astoria,New York,US,https://incapaisa.com/,+1 347-448-6400,Restaurant,Bar & grill,Cocktail bar,Colombian restaurant,Latin American restaurant,Peruvian restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Inca%20Paisa%20Restaurant%20Astoria&query_place_id=ChIJuYT7ZXpfwokRjoiN0LfRVc8,Restaurant,7.336285660021297,34.481,Popular,4.5–5.0
Caridad Restaurant,4.4,1743.0,3533 Broadway,New York,New York,US,https://caridad145.com/?utm_source=google,+1 212-862-4053,Dominican restaurant,Brunch restaurant,Caribbean restaurant,Caterer,Cocktail bar,Family restaurant,Latin American restaurant,Seafood restaurant,Spanish restaurant,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=Caridad%20Restaurant&query_place_id=ChIJz6dyp2P2wokRiQdayjc8crQ,Dominican restaurant,7.463936604468925,32.841,Popular,4.0–4.5
Melba's Restaurant,4.3,4672.0,300 W 114th St,New York,New York,US,https://www.melbasrestaurant.com/,+1 212-864-7777,Southern restaurant (US),American restaurant,Soul food restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Melba's%20Restaurant&query_place_id=ChIJ-bhM6yL2wokRAtIoWi_TL2k,Southern restaurant (US),8.449556542700426,36.333,Viral,4.0–4.5
Jacob Restaurant,4.3,1126.0,2695 Frederick Douglass Blvd,New York,New York,US,http://www.jacobrestaurant.com/,+1 212-283-3663,Soul food restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Jacob%20Restaurant&query_place_id=ChIJXeZWxnv2wokRMvI-T-8vSx4,Soul food restaurant,7.027314514039777,30.217,Popular,4.0–4.5
The Mansion,4.4,1100.0,1634 York Ave,New York,New York,US,http://www.mansiondiner.com/,+1 212-535-8888,Diner,Breakfast restaurant,Coffee shop,Restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Mansion&query_place_id=ChIJ9U7pl7BYwokRr21z5p96Ssw,Diner,7.00397413672268,30.817,Popular,4.0–4.5
Mojitos,4.8,2437.0,81-01 Northern Blvd,Jackson Heights,New York,US,http://www.mojitosrestaurantbar.com/,+1 718-350-9861,Fusion restaurant,Bar,Bar & grill,Latin American restaurant,Nuevo Latino restaurant,Restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Mojitos&query_place_id=ChIJJ1gMKadfwokRZHzqWJeEf0I,Fusion restaurant,7.798933310041217,37.435,Viral,4.5–5.0
Bistro Eloise - French Restaurant,4.6,578.0,75-57 31st Ave,East Elmhurst,New York,US,https://bistroeloise.com/,+1 718-440-9493,French restaurant,Brunch restaurant,Creperie,Wine bar,,,,,,,,https://www.google.com/maps/search/?api=1&query=Bistro%20Eloise%20-%20French%20Restaurant&query_place_id=ChIJaW0AKldfwokRZh8-LdwLkkY,French restaurant,6.361302477572996,29.262,Popular,4.5–5.0
Aliada,4.5,1103.0,29-19 Broadway,Astoria,New York,US,https://www.aliadarestaurant.com/,+1 718-932-2240,Greek restaurant,Mediterranean restaurant,Seafood restaurant,Vegetarian restaurant,,,,,,,,https://www.google.com/maps/search/?api=1&query=Aliada&query_place_id=ChIJcRXQOzdfwokRC-MF8F6_3Wk,Greek restaurant,7.00669522683704,31.53,Popular,4.0–4.5
Lex Restaurant,4.6,352.0,1370 Lexington Ave,New York,New York,US,http://lexrestaurant.com/,+1 212-860-5903,Italian restaurant,Bar,Brunch restaurant,Lunch restaurant,Takeout restaurant,Restaurant,,,,,,https://www.google.com/maps/search/?api=1&query=Lex%20Restaurant&query_place_id=ChIJRS-PgqRYwokRg6Ej6VCpx2o,Italian restaurant,5.8664680569332965,26.986,Small,4.5–5.0
Il Miglio Brick Oven Pizzeria & Italian Restaurant,4.8,1267.0,11-03 36th Ave,Queens,New York,US,https://ilmigliomenu.com/?utm_source=google,+1 718-777-7676,Italian restaurant,American restaurant,Caterer,Dessert restaurant,Family restaurant,Gluten-free restaurant,Pasta shop,Pizza restaurant,Sandwich shop,Vegetarian restaurant,,https://www.google.com/maps/search/?api=1&query=Il%20Miglio%20Brick%20Oven%20Pizzeria%20%26%20Italian%20Restaurant&query_place_id=ChIJ79lCrc1YwokR4ZW60HMyniw,Italian restaurant,7.145196134997171,34.297,Popular,4.5–5.0
Seis Vecinos,4.1,2332.0,640 Prospect Ave,Bronx,New York,US,http://www.seisvecinos.com/,+1 718-684-8604,Central American restaurant,Bar & grill,Family restaurant,Honduran restaurant,Latin American restaurant,Mexican restaurant,Salvadoran restaurant,Spanish restaurant,,,,https://www.google.com/maps/search/?api=1&query=Seis%20Vecinos&query_place_id=ChIJb4LjG7r1wokRyAd4TrnrVeQ,Central American restaurant,7.75491027202143,31.795,Viral,4.0–4.5
Finestra Restaurant,4.5,333.0,1370 York Ave,New York,New York,US,http://www.finestrarestaurant.com/,+1 212-717-8595,Italian restaurant,Seafood restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Finestra%20Restaurant&query_place_id=ChIJqZIo0MZYwokR91Ny6mmqVLQ,Italian restaurant,5.8111409929767,26.15,Small,4.0–4.5
Paola's,4.5,414.0,1302 Madison Ave,New York,New York,US,https://www.paolasrestaurant.com/,+1 212-794-1890,Italian restaurant,Banquet hall,Breakfast restaurant,Brunch restaurant,Caterer,Fine dining restaurant,Meal delivery,Pasta shop,Restaurant,,,https://www.google.com/maps/search/?api=1&query=Paola's&query_place_id=ChIJR4fcjLtYwokRu8yexUQhOTg,Italian restaurant,6.028278520230698,27.127,Small,4.0–4.5
Chez Jacob,4.3,437.0,2479 Frederick Douglass Blvd,New York,New York,US,https://www.facebook.com/chezjacobrestaurant/,+1 212-862-3663,West African restaurant,Meal delivery,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Chez%20Jacob&query_place_id=ChIJ3QIzHG72wokR2W-LyMttEAw,West African restaurant,6.082218910376446,26.154,Small,4.0–4.5
Chocolat Restaurant & Bar,4.0,3109.0,2223 Frederick Douglas Blvd @120th St,Harlem,NY,US,https://www.chocolatharlem.com/,+1 212-222-4545,Restaurant,Brunch restaurant,Caribbean restaurant,Cocktail bar,New American restaurant,Soul food restaurant,Southern restaurant (US),,,,,https://www.google.com/maps/search/?api=1&query=Chocolat%20Restaurant%20%26%20Bar&query_place_id=ChIJkbNGdhT2wokRJ1wWesV8yK0,Restaurant,8.04237800517328,32.17,Viral,3.5–4.0
Inca Paisa Restaurant Bayside,4.5,1469.0,25-71 Francis Lewis Blvd,Flushing,New York,US,https://incapaisa.com/,+1 718-224-0332,Nuevo Latino restaurant,Bar & grill,Colombian restaurant,Peruvian restaurant,Restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Inca%20Paisa%20Restaurant%20Bayside&query_place_id=ChIJI_C8HyeLwokR8i-IyMAbZ4M,Nuevo Latino restaurant,7.293017679772782,32.819,Popular,4.0–4.5
Sol Maya Restaurant,4.4,243.0,2061 2nd Ave,New York,New York,US,,+1 212-410-6950,Breakfast restaurant,Mexican restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sol%20Maya%20Restaurant&query_place_id=ChIJydlpH173wokR0b9vH7aPF8g,Breakfast restaurant,5.497168225293202,24.188,Small,4.0–4.5
Riviera Ristorante,4.6,686.0,17-12 Utopia Pkwy,Whitestone,New York,US,http://www.rivieraristorante.com/,+1 718-352-2225,Italian restaurant,Restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Riviera%20Ristorante&query_place_id=ChIJM1jHAGKKwokRF7ZyZYvOiQQ,Italian restaurant,6.532334292222349,30.049,Popular,4.5–5.0
Sandy Restaurant,4.3,1163.0,2261 2nd Ave,New York,New York,US,https://elnuevosandysrestaurant.com/,+1 212-348-8654,Spanish restaurant,Dominican restaurant,Latin American restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Sandy%20Restaurant&query_place_id=ChIJGVPzwwf2wokR2hDmls7ZwIQ,Spanish restaurant,7.059617628291383,30.356,Popular,4.0–4.5
JeunJu Korean Restaurant 전주식당 | 전주할매칼국수 - Authentic Korean home style food,4.7,1262.0,40-11 150th St,Flushing,New York,US,,+1 718-939-0434,Korean restaurant,Asian restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=JeunJu%20Korean%20Restaurant%20%EC%A0%84%EC%A3%BC%EC%8B%9D%EB%8B%B9%20%7C%20%EC%A0%84%EC%A3%BC%ED%95%A0%EB%A7%A4%EC%B9%BC%EA%B5%AD%EC%88%98%20-%20Authentic%20Korean%20home%20style%20food&query_place_id=ChIJrarcoQRgwokRk1w-o1UUq7U,Korean restaurant,7.141245122350491,33.564,Popular,4.5–5.0
La Patrona Restaurant,4.4,372.0,558 Southern Blvd,Bronx,New York,US,http://patronaresturant.com/,+1 347-270-5545,Mexican restaurant,Family restaurant,Meal delivery,,,,,,,,,https://www.google.com/maps/search/?api=1&query=La%20Patrona%20Restaurant&query_place_id=ChIJV8naGrr1wokRlmBGgvH5HQU,Mexican restaurant,5.921578419643816,26.055,Small,4.0–4.5
"Salento Colombian Restaurant, Coffee & Bakery",4.4,478.0,2112 Amsterdam Ave,New York,New York,US,http://www.salento-ny.com/,+1 646-767-0680,Restaurant,Breakfast restaurant,Brunch restaurant,Colombian restaurant,Coworking space,Coffee shop,,,,,,https://www.google.com/maps/search/?api=1&query=Salento%20Colombian%20Restaurant%2C%20Coffee%20%26%20Bakery&query_place_id=ChIJd52R04z3wokRvmXr6TGrEWE,Restaurant,6.171700597410915,27.155,Small,4.0–4.5
Papazzio Restaurant & Caterer,4.4,351.0,39-38 Bell Blvd,Bayside,New York,US,http://www.papazzio.com/,+1 718-229-1962,Italian restaurant,Bar,Caterer,Fine dining restaurant,Gluten-free restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Papazzio%20Restaurant%20%26%20Caterer&query_place_id=ChIJd2gn_99hwokRjFzrReZ66uQ,Italian restaurant,5.863631175598097,25.8,Small,4.0–4.5
Settepani Restaurant,4.3,814.0,196 Malcolm X Blvd,New York,New York,US,http://www.settepani.com/,+1 917-492-4806,Southern Italian restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Settepani%20Restaurant&query_place_id=ChIJsWCOAA72wokRfHCK0ztm1Vs,Southern Italian restaurant,6.703188113240863,28.824,Popular,4.0–4.5
Trufa Restaurant,4.5,515.0,3431 Broadway,New York,New York,US,https://trufarestaurant.com/,+1 646-522-4142,Italian restaurant,Brunch restaurant,Hamburger restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Trufa%20Restaurant&query_place_id=ChIJu8YNJWT2wokRtKTDat-zTJ4,Italian restaurant,6.246106765481563,28.107,Popular,4.0–4.5
Mirador Restaurant,4.3,128.0,1452 Westchester Ave,Bronx,New York,US,http://miradorrestaurants.com/,+1 718-684-3011,Dominican restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mirador%20Restaurant&query_place_id=ChIJlTjJcBX1wokRtowXlqZnojM,Dominican restaurant,4.859812404361672,20.897,Small,4.0–4.5
Psari,4.4,902.0,32-10 36th Ave,Long Island City,New York,US,http://www.psari-restaurant.com/,+1 718-786-6015,Seafood restaurant,Bar,European restaurant,Greek restaurant,Mediterranean restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=Psari&query_place_id=ChIJqe-Kai5fwokRo43jYIv3-DM,Seafood restaurant,6.805722553416985,29.945,Popular,4.0–4.5
La Barca Restaurant,4.1,644.0,3892 Broadway,New York,New York,US,https://labarcarestaurant.dine.online/?utm_source=website,+1 212-928-1090,Dominican restaurant,Spanish restaurant,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=La%20Barca%20Restaurant&query_place_id=ChIJectupoT2wokRYCeTGuF6xlQ,Dominican restaurant,6.4692503167957724,26.524,Popular,4.0–4.5
JJ Restaurant & Cuchifritos,4.0,678.0,718 E Tremont Ave,Bronx,New York,US,http://jjrestaurantcuchifrito.com/,+1 718-583-3333,Latin American restaurant,Breakfast restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=JJ%20Restaurant%20%26%20Cuchifritos&query_place_id=ChIJs-FcjWH0wokRIp8G-Q67wjs,Latin American restaurant,6.520621127558696,26.082,Popular,3.5–4.0
Andy's Restaurant,4.0,198.0,2262 3rd Ave,New York,New York,US,https://linkof.bio/andyrestaurant/,+1 212-860-2614,Dominican restaurant,,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Andy's%20Restaurant&query_place_id=ChIJB_sqgNX3wokR_PBfDcg5TWw,Dominican restaurant,5.293304824724492,21.173,Small,3.5–4.0
El Nuevo Jaya Restaurant,4.3,218.0,79 Audubon Ave,New York,New York,US,,+1 212-927-1535,Dominican restaurant,Meal delivery,,,,,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Nuevo%20Jaya%20Restaurant&query_place_id=ChIJ71iEwJ32wokRLbTMelZ1Gp0,Dominican restaurant,5.389071729816501,23.173,Small,4.0–4.5
Mama Tala Restaurant,4.1,197.0,582 Morris Ave,Bronx,New York,US,http://www.mamatalarestaurant.com/,+1 718-210-3700,Latin American restaurant,Dominican restaurant,Restaurant,,,,,,,,,https://www.google.com/maps/search/?api=1&query=Mama%20Tala%20Restaurant&query_place_id=ChIJObSYPgD1wokRuPYh7hlkFlY,Latin American restaurant,5.288267030694535,21.682,Small,4.0–4.5
San Jose Restaurant,4.4,729.0,109 E 153rd St,Bronx,New York,US,https://www.getsauce.com/order/site/san-jose-restaurant/,+1 917-631-9253,Mexican restaurant,Family restaurant,Latin American restaurant,Meal delivery,Restaurant,,,,,,,https://www.google.com/maps/search/?api=1&query=San%20Jose%20Restaurant&query_place_id=ChIJFY5vBtP1wokRKiSifF0do3U,Mexican restaurant,6.593044534142437,29.009,Popular,4.0–4.5
